NT_GER;NT_FG;NT_CE;NO_IES;CO_IES_enade;NO_CURSO;NO_CINE_ROTULO;NO_CINE_AREA_GERAL;CO_CATEGAD_DESC;SG_UF_IES;NO_REGIAO_IES;TP_ORGANIZACAO_ACADEMICA_ies_mec;QE_I08_DESC;QE_I04;QE_I05;QE_I17;CO_MODALIDADE;CO_TURNO_GRADUACAO
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;10;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;PR;Sul;1.0;Até 1,5 s.m.;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;11;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Não Informado;PE;Nordeste;1.0;Até 1,5 s.m.;A;B;A;1;4
46,3;56,9;42,8;UNIVERSIDADE FEDERAL DO RIO GRANDE;12;Medicina;Medicina;Saúde e bem-estar;Pública Federal;RS;Sul;1.0;Até 1,5 s.m.;B;A;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO RIO GRANDE;12;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Federal;RS;Sul;1.0;Até 1,5 s.m.;A;A;A;1;3
39,4;52,1;35,1;UNIVERSIDADE DE CAXIAS DO SUL;13;Medicina;Medicina;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;A;B;A;1;3
52;44;54,6;UNIVERSIDADE DO VALE DO RIO DOS SINOS;14;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;B;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE DO VALE DO RIO DOS SINOS;14;Nutrição;Nutrição;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;15;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;RJ;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;17;Medicina;Medicina;Saúde e bem-estar;Pública Federal;MG;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;17;Odontologia;Odontologia;Saúde e bem-estar;Pública Federal;MG;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;3
39,3;41,4;38,6;UNIVERSIDADE CATÓLICA DE PELOTAS;18;Medicina;Medicina;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;19;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;19;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;19;Medicina;Medicina;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;19;Nutrição;Nutrição;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;19;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;19;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE DE PASSO FUNDO;20;Medicina;Medicina;Saúde e bem-estar;Não Informado;RS;Sul;1.0;De 1,5 a 3 s.m.;B;B;A;1;3
29,8;21,8;32,5;UNIVERSIDADE DE PASSO FUNDO;20;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DE PASSO FUNDO;20;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
42,4;58,4;37,1;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;21;Medicina;Medicina;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;21;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Não Informado;A;B;A;1;3
37,8;43,2;36;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;21;Farmácia;Farmácia;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;C;B;A;1;2
29,8;29,5;28,9;UNIVERSIDADE FEEVALE;23;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;24;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;BA;Nordeste;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO AMAZONAS;4;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Federal;AM;Norte;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;Centro Universitário UninCor;27;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;2.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DO CEARÁ;29;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;CE;Nordeste;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DO CEARÁ;29;Nutrição;Nutrição;Saúde e bem-estar;Pública Estadual;CE;Nordeste;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO;30;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO;30;Medicina;Medicina;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;1.0;Até 1,5 s.m.;B;A;A;1;3
34;49,5;28,8;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;32;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Pública Estadual;AL;Nordeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;32;Fisioterapia;Fisioterapia;Saúde e bem-estar;Pública Estadual;AL;Nordeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DO ESTADO DA BAHIA;40;Nutrição;Nutrição;Saúde e bem-estar;Pública Estadual;BA;Nordeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;43;Fisioterapia;Fisioterapia;Saúde e bem-estar;Pública Estadual;SC;Sul;1.0;Até 1,5 s.m.;B;A;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DE CAMPINAS;54;Odontologia;Odontologia;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Não Informado;A;B;A;1;3
0;0;0;UNIVERSIDADE ESTADUAL DE CAMPINAS;54;Medicina;Medicina;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Até 1,5 s.m.;B;A;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DE CAMPINAS;54;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Não Informado;A;B;A;1;3
38,1;61,6;30,3;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;56;Odontologia;Odontologia;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Até 1,5 s.m.;A;A;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;56;Farmácia;Farmácia;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;56;Medicina;Medicina;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Não Informado;A;B;A;1;3
36,6;53,9;30,8;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;56;Odontologia;Odontologia;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;De 1,5 a 3 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;56;Odontologia;Odontologia;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;56;Fisioterapia;Fisioterapia;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;56;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;3
25,2;11,2;29,8;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;56;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DE MARINGÁ;57;Farmácia;Farmácia;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Não Informado;A;B;A;1;3
27,9;21,6;30;UNIVERSIDADE ESTADUAL DE MARINGÁ;57;Odontologia;Odontologia;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DE MARINGÁ;57;Medicina;Medicina;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS;3641;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;71;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;RN;Nordeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;Universidade Estadual do Paraná;18492;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Não Informado;A;B;A;1;3
44,6;61;39,1;UNIVERSIDADE REGIONAL DE BLUMENAU;76;Medicina;Medicina;Saúde e bem-estar;Pública Municipal;SC;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
43,1;47,2;41,7;UNIVERSIDADE REGIONAL DE BLUMENAU;76;Fisioterapia;Fisioterapia;Saúde e bem-estar;Pública Municipal;SC;Sul;1.0;Até 1,5 s.m.;A;B;A;1;1
36,3;21,6;41,2;UNIVERSIDADE DO VALE DO ITAJAÍ;83;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;A;A;A;1;3
33,3;27,1;35,3;UNIVERSIDADE DO VALE DO ITAJAÍ;83;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;A;B;A;1;4
36,5;16,2;43,3;UNIVERSIDADE DO VALE DO ITAJAÍ;83;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;B;A;A;1;1
36,2;37,5;35,8;UNIVERSIDADE DO VALE DO ITAJAÍ;83;Nutrição;Nutrição;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;A;B;A;1;4
39;57,7;32,8;FACULDADE DE MEDICINA DE JUNDIAÍ;93;Medicina;Medicina;Saúde e bem-estar;Pública Municipal;SP;Sudeste;3.0;De 1,5 a 3 s.m.;A;C;A;1;3
49,9;68,9;43,6;UNIVERSIDADE ESTADUAL VALE DO ACARAÚ;95;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;CE;Nordeste;1.0;Até 1,5 s.m.;A;A;A;1;3
28,8;28,6;28,8;Claretiano - Centro Universitário;135;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO;137;Farmácia;Farmácia;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO;137;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Até 1,5 s.m.;B;A;A;1;4
34,5;15,7;40,7;CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO;137;Nutrição;Nutrição;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO;137;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Não Informado;A;B;A;1;3
34,5;43,8;31,4;CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO;137;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;4
47,1;65,5;41;UNIVERSIDADE DE VASSOURAS;140;Medicina;Medicina;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DO TRIÂNGULO;142;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;2.0;Não Informado;A;B;A;1;1
32,1;26,4;34;UNIVERSIDADE DE UBERABA;143;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;1.0;Até 1,5 s.m.;A;A;A;1;4
25,4;21,6;26,6;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO;149;Medicina;Medicina;Saúde e bem-estar;Pública Estadual;SP;Sudeste;3.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO;149;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;SP;Sudeste;3.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTÁCIO DE SÁ;163;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;RJ;Sudeste;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE VEIGA DE ALMEIDA;165;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Privada com fins lucrativos;RJ;Sudeste;1.0;Não Informado;A;B;A;1;1
26;32;24;UNIVERSIDADE METODISTA DE SÃO PAULO;167;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;2
38,1;55,9;32,1;UNIVERSIDADE DO VALE DO SAPUCAÍ;1586;Medicina;Medicina;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE CASTELO BRANCO;176;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;1.0;Até 1,5 s.m.;A;A;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO TABOSA DE ALMEIDA;2409;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;PE;Nordeste;2.0;Não Informado;A;B;A;1;3
34,7;28,3;36,8;CENTRO UNIVERSITÁRIO DE LAVRAS;3372;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;3
40,9;14,4;49,7;CENTRO UNIVERSITÁRIO DE LAVRAS;3372;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE SÃO JUDAS TADEU;203;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;1.0;Não Informado;A;B;A;1;4
20,8;26,2;19;UNIVERSIDADE DE RIBEIRÃO PRETO;208;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;376;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;2.0;Até 1,5 s.m.;A;A;A;1;1
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;376;Enfermagem;Enfermagem;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;2.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;376;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;2.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;Centro Universitário FMABC;224;Medicina;Medicina;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;Até 1,5 s.m.;B;C;A;1;3
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO LUSÍADA;226;Medicina;Medicina;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;Não Informado;A;B;A;1;3
31,7;33;31,2;CENTRO UNIVERSITÁRIO LUSÍADA;226;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE CATÓLICA DE SANTOS;227;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE CATÓLICA DE SANTOS;227;Farmácia E Bioquímica;Farmácia;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;1
29,8;29,5;28,9;FACULDADES OSWALDO CRUZ;234;Farmácia;Farmácia;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;3.0;Até 1,5 s.m.;B;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE SANTA ÚRSULA;240;Nutrição;Nutrição;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;1.0;Não Informado;A;B;A;1;4
35,2;10,4;43,4;UNIVERSIDADE METODISTA DE PIRACICABA;266;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;4
27;25,7;27,4;UNIVERSIDADE METODISTA DE PIRACICABA;266;Nutrição;Nutrição;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;4
13,8;29,7;8,5;UNIVERSIDADE DO OESTE PAULISTA;271;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;Até 1,5 s.m.;B;A;A;1;3
49,6;36;54,1;UNIVERSIDADE DO OESTE PAULISTA;271;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DO OESTE PAULISTA;271;Farmácia;Farmácia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;4
